Feature,dtype,missing_values,missing_%,count,unique,top,freq,mean,std,min,25%,50%,75%,max
track_id,str,0,0.0,50,50,TRK1000,1,,,,,,,
track_name,str,0,0.0,50,50,Song 0,1,,,,,,,
artist,str,0,0.0,50,14,Artist 12,7,,,,,,,
album,str,0,0.0,50,18,Album 18,5,,,,,,,
release_date,str,0,0.0,50,50,2010-01-01,1,,,,,,,
duration_ms,int64,0,0.0,50.0,,,,212726.1,47725.482110755904,128392.0,170575.25,227562.5,246702.25,299262.0
popularity,int64,0,0.0,50.0,,,,50.32,27.52841945246803,0.0,27.5,55.5,69.75,96.0
danceability,float64,0,0.0,50.0,,,,0.47419999999999995,0.2902297471356942,0.017,0.2385,0.5075000000000001,0.6765000000000001,0.986
energy,float64,0,0.0,50.0,,,,0.506,0.29996156216340486,0.005,0.23875,0.5725,0.725,0.973
loudness,float64,0,0.0,50.0,,,,-17.695999999999998,11.567047142284704,-38.78,-26.265,-17.035,-7.6075,-0.4
speechiness,float64,0,0.0,50.0,,,,0.45546,0.27825206675433917,0.014,0.224,0.4735,0.6869999999999999,0.976
acousticness,float64,0,0.0,50.0,,,,0.49662,0.3041990413112669,0.018,0.2175,0.5605,0.747,0.991
instrumentalness,float64,0,0.0,50.0,,,,0.51774,0.31112336355043924,0.011,0.2995,0.5275000000000001,0.7915000000000001,0.987
liveness,float64,0,0.0,50.0,,,,0.5293199999999999,0.32109890649938694,0.011,0.278,0.541,0.846,0.993
valence,float64,0,0.0,50.0,,,,0.60708,0.3058263372756319,0.026,0.37725,0.645,0.86125,1.0
tempo,float64,0,0.0,50.0,,,,126.09400000000001,39.17974429811029,62.04,90.7625,126.59,152.945,197.2
